,Tanggal,Curah_Hujan,Prediksi_Curah_Hujan
0,2022-04-15,0.0,2.377158
1,2022-04-16,0.0,3.9278755
2,2022-04-17,0.0,1.5638883
3,2022-04-18,0.0,4.3046584
4,2022-04-19,0.0,1.790705
5,2022-04-20,14.0,2.8658292
6,2022-04-21,5.923071528751754,2.558705
7,2022-04-22,1.5,2.6925828
8,2022-04-23,0.0,3.2712777
9,2022-04-24,3.3,3.3994024
10,2022-04-25,0.2,3.1357934
11,2022-04-26,0.0,3.3494177
12,2022-04-27,0.0,7.8764
13,2022-04-28,9.5,3.658003
14,2022-04-29,6.4,3.6661785
15,2022-04-30,5.923071528751754,1.5638883
16,2022-05-01,6.7,4.538562
17,2022-05-02,0.0,3.0861025
18,2022-05-03,0.0,3.6823401
19,2022-05-04,0.0,6.518387
20,2022-05-05,0.0,5.008222
21,2022-05-06,0.0,4.41146
22,2022-05-07,0.0,2.6929338
23,2022-05-08,6.4,4.414229
24,2022-05-09,22.0,3.0457983
25,2022-05-10,5.923071528751754,2.835254
26,2022-05-11,1.0,2.649569
27,2022-05-12,0.0,7.212958
28,2022-05-13,0.0,1.9030555
29,2022-05-14,50.7,3.5394013
30,2022-05-15,5.0,4.996287
31,2022-05-16,0.0,7.2741995
32,2022-05-17,5.923071528751754,1.5638883
33,2022-05-18,2.0,5.175334
34,2022-05-19,3.6,4.5115857
35,2022-05-20,1.6,1.698514
36,2022-05-21,19.3,3.3730578
37,2022-05-22,0.0,5.0764437
38,2022-05-23,0.0,4.5122743
39,2022-05-24,0.0,1.5638883
40,2022-05-25,0.0,4.0819736
41,2022-05-26,2.0,4.5680194
42,2022-05-27,9.0,5.6524444
43,2022-05-28,0.4,1.6514457
44,2022-05-29,5.923071528751754,4.216322
45,2022-05-30,0.0,4.3561144
46,2022-05-31,0.0,5.834658
47,2022-06-01,8.5,2.5153708
48,2022-06-02,2.0,3.7671192
49,2022-06-03,0.0,2.6094117
50,2022-06-04,5.923071528751754,4.2066283
51,2022-06-05,5.923071528751754,5.342953
52,2022-06-06,13.0,3.4026563
53,2022-06-07,0.6,3.4707224
54,2022-06-08,0.0,5.0772843
55,2022-06-09,4.1,2.284779
56,2022-06-10,4.1,4.4243994
57,2022-06-11,0.0,5.774801
58,2022-06-12,5.923071528751754,3.963523
59,2022-06-13,6.3,3.2445261
60,2022-06-14,7.3,1.9748371
61,2022-06-15,8.2,2.3500464
62,2022-06-16,2.8,3.4490366
63,2022-06-17,1.2,3.2574425
64,2022-06-18,0.2,8.08715
65,2022-06-19,0.0,9.164403
66,2022-06-20,16.3,6.4051003
67,2022-06-21,0.0,3.275181
68,2022-06-22,0.0,3.6032267
69,2022-06-23,0.0,3.0543196
70,2022-06-24,5.923071528751754,2.6134152
71,2022-06-25,0.0,3.2372751
72,2022-06-26,0.0,2.804827
73,2022-06-27,13.3,3.8965158
74,2022-06-28,5.923071528751754,4.728586
75,2022-06-29,5.923071528751754,1.7547636
76,2022-06-30,0.0,9.363086
77,2022-07-01,0.0,5.009638
78,2022-07-02,0.0,1.7326571
79,2022-07-03,5.923071528751754,9.672113
80,2022-07-04,0.0,1.8431708
81,2022-07-05,15.5,1.5638883
82,2022-07-06,2.5,2.6290097
83,2022-07-07,5.923071528751754,2.663996
84,2022-07-08,0.0,1.5638883
85,2022-07-09,5.923071528751754,4.0923953
86,2022-07-10,0.0,5.3228145
87,2022-07-11,0.0,2.1561253
88,2022-07-12,5.923071528751754,3.825921
89,2022-07-13,5.923071528751754,6.8023076
90,2022-07-14,3.5,4.887836
91,2022-07-15,0.4,2.9477034
92,2022-07-16,0.0,6.7260375
93,2022-07-17,5.923071528751754,5.0734577
94,2022-07-18,0.0,1.7546234
95,2022-07-19,0.0,2.7971644
96,2022-07-20,0.0,2.5106242
97,2022-07-21,0.0,1.6460654
98,2022-07-22,5.923071528751754,9.979826
99,2022-07-23,5.923071528751754,5.3558598
100,2022-07-24,0.0,3.9749079
101,2022-07-25,5.923071528751754,1.5638883
102,2022-07-26,0.0,10.712284
103,2022-07-27,0.0,3.0302896
104,2022-07-28,0.0,2.5609756
105,2022-07-29,0.0,3.0136766
106,2022-07-30,0.0,2.3773115
107,2022-07-31,5.923071528751754,2.2776835
108,2022-08-01,0.0,1.6813185
