,Tanggal,Curah_Hujan,Prediksi_Curah_Hujan
0,2022-04-07,0.0,5.2434936
1,2022-04-08,0.0,7.953369
2,2022-04-09,0.0,6.389585
3,2022-04-10,0.0,7.379177
4,2022-04-14,0.0,4.3881907
5,2022-04-15,0.0,11.470877
6,2022-04-16,0.0,6.834921
7,2022-04-17,0.0,11.586586
8,2022-04-18,0.0,4.3881907
9,2022-04-19,0.0,4.3881907
10,2022-04-20,14.0,7.5290055
11,2022-04-22,1.5,10.012257
12,2022-04-23,0.0,10.126805
13,2022-04-24,3.3,7.5030265
14,2022-04-25,0.2,9.401373
15,2022-04-26,0.0,8.500829
16,2022-04-27,0.0,10.96307
17,2022-04-28,9.5,4.3881907
18,2022-04-29,6.4,8.979419
19,2022-05-01,6.7,10.8937645
20,2022-05-02,0.0,4.747419
21,2022-05-03,0.0,5.2332034
22,2022-05-04,0.0,4.3881907
23,2022-05-05,0.0,5.912576
24,2022-05-06,0.0,9.22189
25,2022-05-07,0.0,12.532822
26,2022-05-08,6.4,9.910501
27,2022-05-09,22.0,5.8630886
28,2022-05-11,1.0,9.440319
29,2022-05-12,0.0,9.434984
30,2022-05-13,0.0,4.435733
31,2022-05-14,50.7,13.831384
32,2022-05-15,5.0,5.0729113
33,2022-05-16,0.0,11.080292
34,2022-05-18,2.0,5.3055644
35,2022-05-19,3.6,5.14686
36,2022-05-20,1.6,6.0041676
37,2022-05-21,19.3,11.801403
38,2022-05-22,0.0,10.463835
39,2022-05-23,0.0,6.6630297
40,2022-05-24,0.0,4.451069
41,2022-05-25,0.0,4.41246
42,2022-05-26,2.0,9.866669
43,2022-05-27,9.0,4.3881907
44,2022-05-28,0.4,5.1366196
45,2022-05-30,0.0,5.6585464
46,2022-05-31,0.0,7.0841584
47,2022-06-01,8.5,8.12716
48,2022-06-02,2.0,6.8309364
49,2022-06-03,0.0,12.924345
50,2022-06-06,13.0,4.389223
51,2022-06-07,0.6,6.5517745
52,2022-06-08,0.0,7.338608
53,2022-06-09,4.1,9.228314
54,2022-06-10,4.1,4.3881907
55,2022-06-11,0.0,8.429235
56,2022-06-13,6.3,14.026672
57,2022-06-14,7.3,4.3881907
58,2022-06-15,8.2,4.5219646
59,2022-06-16,2.8,7.437367
60,2022-06-17,1.2,7.8959947
61,2022-06-18,0.2,11.037568
62,2022-06-19,0.0,7.285671
63,2022-06-20,16.3,12.18905
64,2022-06-21,0.0,5.4684987
65,2022-06-22,0.0,9.088296
66,2022-06-23,0.0,15.010648
67,2022-06-25,0.0,4.676736
68,2022-06-26,0.0,5.763481
69,2022-06-27,13.3,7.33561
70,2022-06-30,0.0,7.5721097
71,2022-07-01,0.0,7.3592196
72,2022-07-02,0.0,11.240515
73,2022-07-04,0.0,12.53619
74,2022-07-05,15.5,4.923047
75,2022-07-06,2.5,13.057129
76,2022-07-08,0.0,4.473826
77,2022-07-10,0.0,4.413552
78,2022-07-11,0.0,4.44682
79,2022-07-14,3.5,10.353568
80,2022-07-15,0.4,4.467474
81,2022-07-16,0.0,4.424891
82,2022-07-18,0.0,4.470871
83,2022-07-19,0.0,5.50219
84,2022-07-20,0.0,9.588175
85,2022-07-21,0.0,4.3881907
86,2022-07-24,0.0,11.142807
87,2022-07-26,0.0,4.3881907
88,2022-07-27,0.0,5.3647165
89,2022-07-28,0.0,4.6782236
90,2022-07-29,0.0,6.0398736
91,2022-07-30,0.0,4.3881907
92,2022-08-01,0.0,10.035625
93,2022-08-02,0.0,4.469936
94,2022-08-03,0.6,4.4212356
95,2022-08-04,0.0,6.2218294
96,2022-08-06,0.0,6.7265134
97,2022-08-11,0.0,11.99923
98,2022-08-12,0.0,10.808476
99,2022-08-13,0.0,4.4310546
100,2022-08-14,0.5,6.5611167
101,2022-08-15,0.4,4.3881907
102,2022-08-19,0.0,10.637251
103,2022-08-20,0.0,4.706053
104,2022-08-21,0.0,4.7887206
105,2022-08-22,0.0,8.565078
106,2022-08-24,0.0,10.103853
107,2022-08-25,0.0,7.3985143
108,2022-08-27,0.0,4.391772
109,2022-08-28,0.0,5.7695584
110,2022-08-29,0.0,4.3971405
111,2022-08-30,0.0,5.40487
112,2022-09-02,0.0,6.7966614
113,2022-09-05,0.0,8.442614
114,2022-09-06,0.0,5.056056
115,2022-09-07,3.0,8.8355055
116,2022-09-09,0.4,7.4569526
117,2022-09-10,0.0,5.8021226
118,2022-09-12,0.0,4.8188124
119,2022-09-13,0.0,4.4328365
120,2022-09-14,0.0,4.4022374
121,2022-09-15,0.0,8.809636
122,2022-09-16,0.0,5.6575365
123,2022-09-19,0.0,9.43963
124,2022-09-20,0.0,6.3502398
125,2022-09-21,0.0,11.256348
126,2022-09-22,0.0,8.157225
127,2022-09-23,0.0,4.551115
128,2022-09-26,0.0,4.5085893
129,2022-09-28,0.0,4.58558
130,2022-09-29,0.0,4.3881907
131,2022-10-01,36.0,6.048393
132,2022-10-02,5.5,4.6565466
133,2022-10-03,22.4,4.56908
134,2022-10-04,50.4,10.577494
135,2022-10-06,0.0,7.673774
136,2022-10-07,0.0,11.134946
137,2022-10-08,0.0,6.497544
138,2022-10-10,9.6,7.2312655
139,2022-10-12,0.0,4.6051307
140,2022-10-14,0.5,4.4268
141,2022-10-15,47.5,11.225393
142,2022-10-16,0.6,4.3890033
143,2022-10-17,0.0,4.3908253
144,2022-10-18,31.6,7.617607
145,2022-10-19,22.0,9.994481
146,2022-10-20,15.0,4.986409
147,2022-10-21,1.1,10.217525
148,2022-10-22,30.0,12.167907
149,2022-10-23,0.0,8.2031555
150,2022-10-24,7.8,9.327333
151,2022-10-25,27.3,9.655097
152,2022-10-26,35.0,11.225433
153,2022-10-27,7.8,11.558275
154,2022-10-28,0.0,4.9510407
155,2022-10-30,0.0,4.5407104
156,2022-10-31,0.0,9.245309
157,2022-11-01,15.7,11.363104
158,2022-11-02,0.0,4.5934315
159,2022-11-03,27.6,6.3676977
160,2022-11-04,2.9,4.409918
161,2022-11-05,0.0,4.4326825
162,2022-11-06,0.0,11.694551
163,2022-11-07,0.0,6.1124697
