,Tanggal,RR
0,2019-01-01,5.923071528751754
1,2019-01-02,0.0
2,2019-01-03,20.5
3,2019-01-04,2.6
4,2019-01-05,0.9
5,2019-01-06,5.923071528751754
6,2019-01-07,0.0
7,2019-01-08,10.5
8,2019-01-09,5.923071528751754
9,2019-01-10,1.5
10,2019-01-11,5.923071528751754
11,2019-01-12,1.0
12,2019-01-13,0.0
13,2019-01-14,0.0
14,2019-01-15,5.6
15,2019-01-16,22.5
16,2019-01-17,42.0
17,2019-01-18,91.6
18,2019-01-19,30.0
19,2019-01-20,65.0
20,2019-01-21,19.3
21,2019-01-22,0.0
22,2019-01-23,4.2
23,2019-01-24,13.6
24,2019-01-25,16.0
25,2019-01-26,0.0
26,2019-01-27,0.0
27,2019-01-28,19.1
28,2019-01-29,0.4
29,2019-01-30,0.0
30,2019-01-31,14.1
31,2019-02-01,11.1
32,2019-02-02,80.8
33,2019-02-03,101.0
34,2019-02-04,13.0
35,2019-02-05,74.7
36,2019-02-06,9.8
37,2019-02-07,6.5
38,2019-02-08,7.8
39,2019-02-09,1.3
40,2019-02-10,2.0
41,2019-02-11,3.0
42,2019-02-12,5.2
43,2019-02-13,2.5
44,2019-02-14,10.7
45,2019-02-15,6.4
46,2019-02-16,1.4
47,2019-02-17,0.0
48,2019-02-18,0.3
49,2019-02-19,0.0
50,2019-02-20,0.0
51,2019-02-21,1.5
52,2019-02-22,0.0
53,2019-02-23,0.0
54,2019-02-24,0.0
55,2019-02-25,5.923071528751754
56,2019-02-26,0.0
57,2019-02-27,0.0
58,2019-02-28,0.0
59,2019-03-01,0.0
60,2019-03-02,2.3
61,2019-03-03,5.0
62,2019-03-04,5.923071528751754
63,2019-03-05,0.0
64,2019-03-06,7.7
65,2019-03-07,1.5
66,2019-03-08,0.5
67,2019-03-09,0.0
68,2019-03-10,40.1
69,2019-03-11,1.0
70,2019-03-12,0.0
71,2019-03-13,0.0
72,2019-03-14,17.4
73,2019-03-15,3.2
74,2019-03-16,16.0
75,2019-03-17,5.9
76,2019-03-18,37.4
77,2019-03-19,33.4
78,2019-03-20,0.3
79,2019-03-21,0.0
80,2019-03-22,1.4
81,2019-03-23,0.0
82,2019-03-24,5.923071528751754
83,2019-03-25,5.923071528751754
84,2019-03-26,1.3
85,2019-03-27,2.5
86,2019-03-28,17.9
87,2019-03-29,32.5
88,2019-03-30,0.0
89,2019-03-31,0.0
90,2019-04-01,3.7
91,2019-04-02,44.0
92,2019-04-03,0.5
93,2019-04-04,0.0
94,2019-04-05,0.0
95,2019-04-06,0.0
96,2019-04-07,5.0
97,2019-04-08,15.0
98,2019-04-09,2.3
99,2019-04-10,2.5
100,2019-04-11,51.0
101,2019-04-12,0.0
102,2019-04-13,0.0
103,2019-04-14,2.5
104,2019-04-15,18.3
105,2019-04-16,0.5
106,2019-04-17,0.0
107,2019-04-18,1.0
108,2019-04-19,0.0
109,2019-04-20,5.923071528751754
110,2019-04-21,0.0
111,2019-04-22,0.0
112,2019-04-23,0.0
113,2019-04-24,5.923071528751754
114,2019-04-25,0.0
115,2019-04-26,3.5
116,2019-04-27,27.3
117,2019-04-28,0.0
118,2019-04-29,63.6
119,2019-04-30,47.5
120,2019-05-01,2.5
121,2019-05-02,2.5
122,2019-05-03,0.5
123,2019-05-04,0.0
124,2019-05-05,0.1
125,2019-05-06,0.0
126,2019-05-07,0.0
127,2019-05-08,0.0
128,2019-05-09,0.0
129,2019-05-10,0.0
130,2019-05-11,0.0
131,2019-05-12,0.0
132,2019-05-13,0.0
133,2019-05-14,0.0
134,2019-05-15,0.0
135,2019-05-16,0.0
136,2019-05-17,5.923071528751754
137,2019-05-18,0.0
138,2019-05-19,0.0
139,2019-05-20,0.0
140,2019-05-21,0.0
141,2019-05-22,0.0
142,2019-05-23,0.0
143,2019-05-24,0.0
144,2019-05-25,0.0
145,2019-05-26,0.0
146,2019-05-27,0.0
147,2019-05-28,0.0
148,2019-05-29,0.0
149,2019-05-30,0.0
150,2019-05-31,0.0
151,2019-06-01,0.0
152,2019-06-02,0.0
153,2019-06-03,0.0
154,2019-06-04,0.0
155,2019-06-05,0.0
156,2019-06-06,0.0
157,2019-06-07,0.0
158,2019-06-08,0.0
159,2019-06-09,0.0
160,2019-06-10,0.0
161,2019-06-11,0.0
162,2019-06-12,0.0
163,2019-06-13,0.0
164,2019-06-14,0.0
165,2019-06-15,0.0
166,2019-06-16,0.0
167,2019-06-17,0.0
168,2019-06-18,0.0
169,2019-06-19,0.0
170,2019-06-20,0.0
171,2019-06-21,0.0
172,2019-06-22,0.0
173,2019-06-23,0.0
174,2019-06-24,0.0
175,2019-06-25,0.0
176,2019-06-26,0.0
177,2019-06-27,0.0
178,2019-06-28,0.0
179,2019-06-29,0.0
180,2019-06-30,0.0
181,2019-07-01,0.0
182,2019-07-02,0.0
183,2019-07-03,0.0
184,2019-07-04,0.0
185,2019-07-05,5.923071528751754
186,2019-07-06,5.923071528751754
187,2019-07-07,0.0
188,2019-07-08,0.0
189,2019-07-09,0.0
190,2019-07-10,0.0
191,2019-07-11,0.0
192,2019-07-12,0.0
193,2019-07-13,0.0
194,2019-07-14,0.0
195,2019-07-15,0.0
196,2019-07-16,0.0
197,2019-07-17,0.0
198,2019-07-18,0.0
199,2019-07-19,0.0
200,2019-07-20,0.0
201,2019-07-21,0.0
202,2019-07-22,0.0
203,2019-07-23,0.0
204,2019-07-24,0.0
205,2019-07-25,0.0
206,2019-07-26,0.0
207,2019-07-27,0.0
208,2019-07-28,0.0
209,2019-07-29,0.0
210,2019-07-30,0.0
211,2019-07-31,0.0
212,2019-08-01,0.0
213,2019-08-02,0.0
214,2019-08-03,0.0
215,2019-08-04,0.0
216,2019-08-05,0.0
217,2019-08-06,0.0
218,2019-08-07,0.0
219,2019-08-08,0.0
220,2019-08-09,0.0
221,2019-08-10,0.0
222,2019-08-11,0.0
223,2019-08-12,0.0
224,2019-08-13,0.0
225,2019-08-14,0.0
