,RR
1,0.0
2,20.5
3,2.6
4,0.9
6,0.0
7,10.5
9,1.5
11,1.0
12,0.0
13,0.0
14,5.6
15,22.5
16,42.0
17,91.6
18,30.0
19,65.0
20,19.3
21,0.0
22,4.2
23,13.6
24,16.0
25,0.0
26,0.0
27,19.1
28,0.4
29,0.0
30,14.1
31,11.1
32,80.8
33,101.0
34,13.0
35,74.7
36,9.8
37,6.5
38,7.8
39,1.3
40,2.0
41,3.0
42,5.2
43,2.5
44,10.7
45,6.4
46,1.4
47,0.0
48,0.3
49,0.0
50,0.0
51,1.5
52,0.0
53,0.0
54,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,2.3
61,5.0
63,0.0
64,7.7
65,1.5
66,0.5
67,0.0
68,40.1
69,1.0
70,0.0
71,0.0
72,17.4
73,3.2
74,16.0
75,5.9
76,37.4
77,33.4
78,0.3
79,0.0
80,1.4
81,0.0
84,1.3
85,2.5
86,17.9
87,32.5
88,0.0
89,0.0
90,3.7
91,44.0
92,0.5
93,0.0
94,0.0
95,0.0
96,5.0
97,15.0
98,2.3
99,2.5
100,51.0
101,0.0
102,0.0
103,2.5
104,18.3
105,0.5
106,0.0
107,1.0
108,0.0
110,0.0
111,0.0
112,0.0
114,0.0
115,3.5
116,27.3
117,0.0
118,63.6
119,47.5
120,2.5
121,2.5
122,0.5
123,0.0
124,0.1
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
304,0.0
305,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,5.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.5
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,19.6
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,14.5
338,26.0
339,0.3
340,0.5
341,0.0
342,0.0
343,13.3
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
351,0.5
353,0.0
354,11.6
355,2.9
356,0.0
357,4.1
358,0.0
359,48.5
361,11.0
362,0.0
364,0.0
366,1.3
367,0.0
368,1.8
369,1.3
370,16.4
371,39.2
372,0.5
373,2.0
374,52.8
375,3.2
376,6.0
377,0.0
379,0.0
380,1.0
382,0.0
383,18.3
384,0.0
385,2.5
386,35.3
387,2.5
388,1.4
389,11.0
390,0.0
392,9.8
393,0.0
395,2.8
396,14.5
397,29.8
398,0.2
400,0.0
402,4.2
403,32.8
404,0.0
406,30.0
407,3.8
408,9.8
410,0.0
411,0.0
412,11.6
413,45.7
414,0.4
415,3.2
416,0.0
417,20.7
418,56.6
419,7.8
420,0.0
421,42.0
422,40.5
423,20.4
424,101.8
425,0.0
426,8.0
427,0.7
428,1.4
429,45.0
430,7.4
431,32.3
432,47.4
433,43.3
434,47.4
435,0.0
436,0.0
437,0.0
438,39.1
439,6.0
440,15.2
441,16.0
442,4.4
443,6.5
444,1.0
445,0.0
447,2.8
448,15.4
449,0.0
450,5.5
451,0.0
452,0.0
454,3.7
456,0.5
457,0.0
458,0.0
460,80.5
462,10.7
463,13.4
464,0.2
